2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150,2160,2170,2180,2190,2200
0,125.56,255.15,434.74,638.96,899.82,1197.1,1533.8,1943.8,2395.6,2858.6,3260.4,3824,4438.9,5083.6,5715.1,6395,7143.9,7904,8656.8,9511.8
0,125.75,255.54,435.33,639.74,900.8,1198.3,1535.2,1945.3,2397.3,2860.6,3262.6,3826.3,4441.5,5086.4,5718.1,6398.1,7147.2,7907.5,8660.5,9515.7
0,125.96,255.95,435.94,640.55,901.81,1199.5,1536.6,1947,2399.2,2862.6,3264.8,3828.7,4444.1,5089.2,5721.1,6401.4,7150.6,7911.2,8664.4,9519.7
0,126.17,256.38,436.59,641.42,902.9,1200.8,1538.1,1948.7,2401.1,2864.8,3267.2,3831.4,4446.9,5092.2,5724.4,6404.9,7154.3,7915.1,8668.5,9524.1
0,126.41,256.86,437.31,642.38,904.1,1202.3,1539.8,1950.6,2403.3,2867.2,3269.8,3834.2,4450.1,5095.6,5728,6408.7,7158.4,7919.4,8673,9528.9
0,126.69,257.42,438.14,643.49,905.48,1203.9,1541.7,1952.8,2405.8,2869.9,3272.9,3837.6,4453.7,5099.5,5732.1,6413.1,7163.1,7924.4,8678.3,9534.4
0,127.04,258.11,439.18,644.88,907.22,1206,1544.2,1955.6,2408.9,2873.4,3276.7,3841.7,4458.2,5104.3,5737.3,6418.7,7169,7930.6,8684.9,9541.3
0,127.55,259.13,440.71,646.91,909.77,1209.1,1547.7,1959.7,2413.5,2878.5,3282.3,3847.8,4464.8,5111.5,5745,6426.8,7177.7,7939.8,8694.6,9551.5
0,127.97,258.93,440.62,647.52,906.36,1200.9,1536,1948.2,2407.8,2882.2,3262.5,3822.5,4444.4,5090,5724.8,6407.6,7147.3,7900.8,8647.9,9445.4
0,128.48,259.95,442.15,649.56,908.91,1204,1539.5,1952.3,2412.4,2887.3,3268.1,3828.6,4451.1,5097.1,5732.4,6415.8,7155.9,7910,8657.6,9455.6
0,128.82,260.65,443.18,650.95,910.64,1206,1542,1955.1,2415.5,2890.8,3272,3832.8,4455.6,5101.9,5737.6,6421.3,7161.8,7916.2,8664.2,9462.5
0,129.1,261.2,444.02,652.06,912.03,1207.7,1543.9,1957.3,2418,2893.5,3275,3836.1,4459.2,5105.8,5741.8,6425.8,7166.5,7921.2,8669.4,9468
0,129.34,261.68,444.74,653.02,913.23,1209.1,1545.6,1959.2,2420.2,2895.9,3277.6,3839,4462.3,5109.2,5745.4,6429.6,7170.6,7925.5,8674,9472.8
0,129.56,262.11,445.39,653.89,914.31,1210.4,1547.1,1960.9,2422.1,2898.1,3280,3841.6,4465.1,5112.2,5748.6,6433.1,7174.3,7929.4,8678.1,9477.2
0,129.76,262.52,446,654.7,915.33,1211.7,1548.5,1962.6,2423.9,2900.1,3282.3,3844,4467.7,5115.1,5751.7,6436.3,7177.8,7933.1,8682,9481.3
0,129.96,262.91,446.58,655.48,916.3,1212.8,1549.9,1964.1,2425.7,2902.1,3284.4,3846.3,4470.3,5117.8,5754.6,6439.4,7181.1,7936.6,8685.7,9485.1
0,130.15,263.29,447.15,656.24,917.26,1214,1551.2,1965.7,2427.4,2904,3286.5,3848.6,4472.8,5120.5,5757.5,6442.5,7184.3,7940,8689.3,9489
0,130.34,263.68,447.73,657.01,918.21,1215.1,1552.6,1967.2,2429.1,2905.9,3288.6,3850.9,4475.2,5123.1,5760.3,6445.6,7187.6,7943.5,8692.9,9492.8
0,130.53,264.07,448.31,657.79,919.19,1216.3,1553.9,1968.7,2430.9,2907.9,3290.8,3853.3,4477.8,5125.9,5763.3,6448.7,7190.9,7947,8696.6,9496.7
0,130.74,264.47,448.92,658.6,920.2,1217.5,1555.3,1970.4,2432.7,2909.9,3293,3855.7,4480.4,5128.7,5766.3,6451.9,7194.3,7950.6,8700.5,9500.8
0,130.95,264.91,449.57,659.47,921.29,1218.8,1556.9,1972.1,2434.7,2912.1,3295.4,3858.3,4483.2,5131.8,5769.6,6455.4,7198,7954.5,8704.6,9505.1
0,131.19,265.39,450.29,660.43,922.49,1220.3,1558.5,1974,2436.8,2914.5,3298,3861.2,4486.4,5135.1,5773.2,6459.2,7202.1,7958.9,8709.2,9509.9
0,131.47,265.94,451.12,661.54,923.88,1221.9,1560.5,1976.2,2439.3,2917.2,3301.1,3864.5,4490,5139,5777.3,6463.7,7206.8,7963.9,8714.4,9515.4
0,131.82,266.63,452.16,662.92,925.61,1224,1562.9,1979,2442.4,2920.7,3304.9,3868.7,4494.5,5143.8,5782.5,6469.2,7212.7,7970.1,8721,9522.4
0,132.33,267.65,453.69,664.96,928.16,1227.1,1566.5,1983.1,2447,2925.8,3310.5,3874.8,4501.1,5151,5790.2,6477.4,7221.4,7979.3,8730.7,9532.6
0,66.472,145.8,261.53,423.93,634.63,891.7,1185.1,1515.4,1881.3,2264.4,2791.6,3293.8,3821.5,4378.4,4991.1,5644,6326,7048.6,7816.7,8623.9
0,66.981,146.82,263.06,425.97,637.17,894.76,1188.7,1519.4,1885.9,2269.5,2797.2,3299.9,3828.2,4385.6,4998.8,5652.1,6334.7,7057.8,7826.4,8634.1
0,67.328,147.51,264.1,427.35,638.91,896.84,1191.1,1522.2,1889,2273,2801,3304.1,3832.7,4390.4,5004,5657.7,6340.6,7064,7832.9,8641
0,67.605,148.06,264.93,428.46,640.29,898.5,1193.1,1524.4,1891.5,2275.7,2804,3307.4,3836.3,4394.3,5008.1,5662.1,6345.3,7069,7838.2,8646.5
0,67.845,148.54,265.65,429.42,641.49,899.94,1194.8,1526.3,1893.6,2278.1,2806.7,3310.3,3839.4,4397.7,5011.7,5666,6349.4,7073.3,7842.8,8651.3
0,68.062,148.98,266.3,430.29,642.58,901.24,1196.3,1528.1,1895.6,2280.3,2809.1,3312.9,3842.2,4400.7,5015,5669.4,6353.1,7077.3,7846.9,8655.7
0,68.265,149.38,266.91,431.1,643.59,902.46,1197.7,1529.7,1897.4,2282.4,2811.3,3315.3,3844.9,4403.6,5018,5672.7,6356.5,7080.9,7850.7,8659.7
0,68.46,149.77,267.5,431.88,644.57,903.63,1199.1,1531.3,1899.2,2284.3,2813.5,3317.7,3847.4,4406.3,5021,5675.8,6359.8,7084.4,7854.5,8663.6
0,68.651,150.16,268.07,432.65,645.52,904.78,1200.4,1532.8,1900.9,2286.2,2815.6,3320,3849.9,4409,5023.8,5678.9,6363.1,7087.9,7858.1,8667.5
0,68.842,150.54,268.64,433.41,646.48,905.92,1201.7,1534.3,1902.6,2288.1,2817.7,3322.3,3852.4,4411.6,5026.7,5681.9,6366.3,7091.3,7861.7,8671.3
0,69.037,150.93,269.23,434.19,647.45,907.09,1203.1,1535.9,1904.4,2290.1,2819.8,3324.6,3854.9,4414.4,5029.6,5685,6369.7,7094.8,7865.4,8675.2
0,69.24,151.33,269.84,435,648.47,908.31,1204.5,1537.5,1906.2,2292.1,2822,3327.1,3857.5,4417.2,5032.7,5688.3,6373.1,7098.5,7869.3,8679.2
0,69.457,151.77,270.49,435.87,649.55,909.62,1206,1539.2,1908.2,2294.3,2824.4,3329.7,3860.4,4420.2,5035.9,5691.8,6376.8,7102.4,7873.4,8683.6
0,69.697,152.25,271.21,436.83,650.75,911.05,1207.7,1541.2,1910.3,2296.7,2827.1,3332.5,3863.5,4423.6,5039.5,5695.6,6380.9,7106.7,7878,8688.4
0,69.975,152.8,272.04,437.94,652.14,912.72,1209.7,1543.4,1912.8,2299.4,2830.1,3335.9,3867.1,4427.5,5043.7,5700,6385.6,7111.7,7883.2,8693.9
0,70.321,153.49,273.08,439.33,653.87,914.8,1212.1,1546.2,1915.9,2302.9,2833.9,3340,3871.6,4432.3,5048.9,5705.6,6391.5,7117.9,7889.8,8700.9
0,70.831,154.51,274.61,441.36,656.42,917.85,1215.7,1550.2,1920.5,2308,2839.5,3346.1,3878.2,4439.5,5056.5,5713.7,6400.1,7127.1,7899.5,8711.1
0,138.65,286.64,485.49,705.53,994.04,1317.6,1688,2131.6,2626.2,3157.2,3315.2,3880.3,4523.2,5209.3,5856.3,6542.1,7295.9,8050.9,8768.2,9518.2
0,139.16,287.66,487.02,707.57,996.59,1320.6,1691.6,2135.7,2630.8,3162.3,3320.8,3886.5,4529.8,5216.5,5864,6550.3,7304.5,8060.1,8777.8,9528.4
0,139.51,288.35,488.06,708.95,998.32,1322.7,1694,2138.5,2634,3165.8,3324.6,3890.6,4534.3,5221.3,5869.2,6555.8,7310.4,8066.3,8784.4,9535.4
